id,rank,name,nat,age,birth,turned_pro,weight,height,plays,aces,double_faults,f_serve,f_serve_won,s_serve_won,break_faced,break_saved,serve_played,serve_won,serve_points_won,re_f_serve_won,re_s_serve_won,break_opp,break_conv,re_games_played,re_games_won,re_points_won,total_points_won,prize,prize_year,score,score_year,coach,place_birth,residence
37,38,AndreyRublev,RUS,20.0,1997.10.20,2014.0,70.0,188.0,"Right-Handed,Two-Handed",406.0,362.0,60.0,70.0,48.0,716.0,61.0,1131.0,75.0,61.0,29.0,52.0,667.0,40.0,1142.0,23.0,38.0,50.0,2479249,652735.0,48-52,15-15,FernandoVicente,"Moscow,Russia","Moscow,Russia"
38,39,GaelMonfils,FRA,32.0,1986.09.01,2004.0,80.0,193.0,"Right-Handed,Two-Handed",5561.0,2330.0,62.0,73.0,50.0,4178.0,61.0,8318.0,81.0,64.0,32.0,49.0,5053.0,41.0,8345.0,25.0,38.0,51.0,14689666,935028.0,433-246,22-14,,"Paris,France",Switzerland
39,40,GillesSimon,FRA,33.0,1984.12.27,2002.0,70.0,183.0,"Right-Handed,Two-Handed",3251.0,1665.0,57.0,69.0,52.0,5542.0,60.0,9269.0,76.0,62.0,31.0,53.0,5793.0,43.0,9182.0,27.0,40.0,51.0,13272238,786041.0,443-324,22-17,,"Nice,France","Neuchatel,Switzerland"
40,41,MartonFucsovics,HUN,26.0,1992.02.08,2010.0,82.0,188.0,"Right-Handed,Two-Handed",248.0,203.0,54.0,70.0,51.0,434.0,62.0,679.0,76.0,62.0,30.0,51.0,430.0,41.0,679.0,26.0,39.0,50.0,1429263,731804.0,40-39,18-19,AttilaSavolt,"Nyiregyhaza,Hungary","Budapest,Hungary"
41,42,NicolasJarry,CHI,22.0,1995.10.11,2014.0,90.0,198.0,"Right-Handed,Two-Handed",359.0,137.0,64.0,72.0,53.0,295.0,63.0,608.0,82.0,65.0,26.0,46.0,286.0,36.0,609.0,17.0,34.0,50.0,989259,577950.0,29-27,24-17,MartinRodriguez,"Santiago,Chile","Santiago,Chile"
42,43,LeonardoMayer,ARG,31.0,1987.05.15,2003.0,80.0,191.0,"Right-Handed,One-Handed",1943.0,1049.0,61.0,73.0,52.0,1908.0,62.0,3952.0,82.0,65.0,27.0,48.0,1917.0,37.0,3948.0,18.0,35.0,50.0,5707999,809827.0,163-165,22-20,"MarianoHood,LeoAlonso","Corrientes,Argentina","BuenosAires,Argentina"
43,44,FrancesTiafoe,USA,20.0,1998.01.20,2015.0,77.0,188.0,"Right-Handed,Two-Handed",592.0,230.0,61.0,72.0,52.0,523.0,60.0,1031.0,80.0,64.0,25.0,49.0,498.0,37.0,1043.0,18.0,35.0,49.0,1635252,734764.0,33-45,24-16,RobbyGinepri,"Hyattsville,MD,USA","Orlando,FL,USA"
44,45,AlexdeMinaur,AUS,19.0,1999.02.17,2015.0,69.0,180.0,"Right-Handed,Two-Handed",143.0,114.0,60.0,68.0,53.0,265.0,58.0,440.0,75.0,62.0,27.0,50.0,241.0,36.0,445.0,20.0,36.0,49.0,862771,616256.0,18-19,16-14,AdolfoGutierrez,"Sydney,Australia","Alicante,Spain"
45,46,JeremyChardy,FRA,31.0,1987.02.12,2005.0,75.0,188.0,"Right-Handed,Two-Handed",3911.0,2030.0,60.0,74.0,50.0,3109.0,63.0,6024.0,81.0,64.0,27.0,48.0,3088.0,37.0,6069.0,19.0,36.0,50.0,7878830,741118.0,245-247,21-17,JamesDavidson,"Pau,France","London,England"
46,47,PeterGojowczyk,GER,29.0,1989.07.15,2006.0,83.0,188.0,"Right-Handed,Two-Handed",624.0,300.0,55.0,75.0,49.0,560.0,59.0,1061.0,79.0,63.0,28.0,50.0,524.0,40.0,1063.0,20.0,36.0,50.0,1802671,610749.0,44-45,19-19,AlexanderSatschko,"Munich,Germany","Munich,Germany"
